YEAR;DATE;TMAX;TMIN;TMED
1971;1-1-71;29.4;11.4;21.2
1971;2-1-71;32;15.4;24.1
1971;3-1-71;28.9;16.5;20.6
1971;4-1-71;21.5;9.6;15
1971;5-1-71;29;8.3;18
1971;6-1-71;25.7;15.8;19.9
1971;7-1-71;29.6;13.5;21.7
1971;8-1-71;21.5;9.6;16
1971;9-1-71;19.5;6.3;13.5
1971;10-1-71;17;6.5;13.1
1971;11-1-71;20.9;12.5;15.7
1971;12-1-71;16;10.8;14.5
1971;13-1-71;24.5;8.5;17.5
1971;14-1-71;34.5;11.2;22.3
1971;15-1-71;32;13.3;22.8
1971;16-1-71;30.7;14.4;22.7
1971;17-1-71;31;12;21.6
1971;18-1-71;22;11.6;16.9
1971;19-1-71;18.5;9;13.3
1971;20-1-71;28;13;20.6
1971;21-1-71;24;12;17.4
1971;22-1-71;28.4;12.3;21.2
1971;23-1-71;25;18.6;21.4
1971;24-1-71;22;12.4;17.6
1971;25-1-71;24.5;9;18.2
1971;26-1-71;21;9;20.6
1971;27-1-71;27;7.2;16.5
1971;28-1-71;26.5;13.6;18.5
1971;29-1-71;21.5;9.9;16.1
1971;30-1-71;21;6.7;14.2
1971;31-1-71;25.5;11;18.9
1971;1-2-71;29.5;15.5;22.2
1971;2-2-71;24;13;13.6
1971;3-2-71;32.5;18.3;22.8
1971;4-2-71;29;13.5;22.3
1971;5-2-71;23;7;17.9
1971;6-2-71;21;8.3;14.6
1971;7-2-71;17.5;12.6;14.8
1971;8-2-71;24.5;11.5;18
1971;9-2-71;20;9.6;14.8
1971;10-2-71;21.2;8;15.1
1971;11-2-71;23.9;11.6;18.2
1971;12-2-71;20.7;15;19
1971;13-2-71;23.7;9.9;17.4
1971;14-2-71;22.9;12.2;16.8
1971;15-2-71;25.6;7.8;16.8
1971;16-2-71;26.7;11.5;19.5
1971;17-2-71;23.5;17.6;20.9
1971;18-2-71;27;14.4;20.5
1971;19-2-71;18;7.5;13.5
1971;20-2-71;26;5.5;15.5
1971;21-2-71;24.5;7;16.1
1971;22-2-71;26.5;12;20
1971;23-2-71;20.8;9.1;16.3
1971;24-2-71;16.5;5.9;11.2
1971;25-2-71;22.5;2.5;13.3
1971;26-2-71;25;6.8;17
1971;27-2-71;24;12;18.6
1971;28-2-71;26.5;15;20
1971;1-3-71;26;17.6;20.8
1971;2-3-71;27;17;21
1971;3-3-71;27.6;16.4;20.7
1971;4-3-71;25.6;16.8;20.8
1971;5-3-71;25.5;17;21.1
1971;6-3-71;22.2;19;20.1
1971;7-3-71;23;14.2;18.5
1971;8-3-71;29;13.3;20.4
1971;9-3-71;21.6;11.4;16
1971;10-3-71;21.2;9;14.6
