YEAR;TMAX;TMIN;TMED
1971;29.4;11.4;21.2
1971;32;15.4;24.1
1971;28.9;16.5;20.6
1971;21.5;9.6;15
1971;29;8.3;18
1971;25.7;15.8;19.9
1971;29.6;13.5;21.7
1971;21.5;9.6;16
1971;19.5;6.3;13.5
1971;17;6.5;13.1
1971;20.9;12.5;15.7
1971;16;10.8;14.5
1971;24.5;8.5;17.5
1971;34.5;11.2;22.3
1971;32;13.3;22.8
1971;30.7;14.4;22.7
1971;31;12;21.6
1971;22;11.6;16.9
1971;18.5;9;13.3
1971;28;13;20.6
1971;24;12;17.4
1971;28.4;12.3;21.2
1971;25;18.6;21.4
1971;22;12.4;17.6
1971;24.5;9;18.2
1971;21;9;20.6
1971;27;7.2;16.5
1971;26.5;13.6;18.5
1971;21.5;9.9;16.1
1971;21;6.7;14.2
1971;25.5;11;18.9
1971;29.5;15.5;22.2
1971;24;13;13.6
1971;32.5;18.3;22.8
1971;29;13.5;22.3
1971;23;7;17.9
1971;21;8.3;14.6
1971;17.5;12.6;14.8
1971;24.5;11.5;18
1971;20;9.6;14.8
1971;21.2;8;15.1
1971;23.9;11.6;18.2
1971;20.7;15;19
1971;23.7;9.9;17.4
1971;22.9;12.2;16.8
1971;25.6;7.8;16.8
1971;26.7;11.5;19.5
1971;23.5;17.6;20.9
1971;27;14.4;20.5
1971;18;7.5;13.5
1971;26;5.5;15.5
1971;24.5;7;16.1
1971;26.5;12;20
1971;20.8;9.1;16.3
1971;16.5;5.9;11.2
1971;22.5;2.5;13.3
1971;25;6.8;17
1971;24;12;18.6
1971;26.5;15;20
1971;26;17.6;20.8
1971;27;17;21
1971;27.6;16.4;20.7
1971;25.6;16.8;20.8
1971;25.5;17;21.1
1971;22.2;19;20.1
1971;23;14.2;18.5
1971;29;13.3;20.4
1971;21.6;11.4;16
1971;21.2;9;14.6
1971;24;8.8;16.8
1971;23.2;13;17.8
1971;19.6;9.4;14.3
1971;19;6;12.6
1971;24.5;6.7;16.2
1971;25.5;10.5;17.7
1971;24.3;10.3;17.6
1971;23;11.4;17
1971;21.6;9.4;15.1
1971;24;5;15.9
1971;27;11.5;19.3
1971;20.5;10;15.9
1971;24.5;5.6;15
1971;24.9;8.7;17
1971;28.4;11.7;18.1
1971;28;10;20.2
1971;29.5;12.9;21.6
1971;30;9.5;21.8
1971;26;14.8;19.8
1971;21.5;11.3;14.1
1971;22.5;9.5;16.2
1971;23.9;17.3;20.6
1971;25.2;10.3;18
1971;23.5;8.2;14.5
1971;21.5;6;14.1
1971;22.5;9;16.1
1971;19;12.2;15.8
1971;18.5;9.5;13.7
1971;19.4;5.5;13
1971;19.8;7.7;12.6
1971;16.7;4;10.3
1971;18.4;3.4;10.4
1971;21.9;3;15.5
1971;23;5.6;14.6
1971;22.8;9.2;17.8
1971;15.5;11.6;13
1971;16.2;11.2;13.7
1971;15;4;10
1971;13;1.6;7.1
1971;12;1.5;6.1
1971;12;3;8.4
1971;13;3.2;9
1971;13;5;8.3
1971;11.2;2.2;7.7
1971;16.2;6.5;10.8
1971;19;4;11.3
1971;17.9;5.2;10.9
1971;15.6;6.6;10.6
1971;14.7;8.4;11.4
1971;17.7;3.1;9.9
1971;15.2;5;9.5
1971;12.9;2.2;8.2
1971;12.4;0.3;5
1971;8.6;0.6;3.8
1971;9;0.6;4.6
1971;10.1;0.8;5.9
1971;11.5;-1.6;5.1
1971;11.7;4.8;7.2
1971;15;5.5;9.9
1971;15.3;1.9;10.5
1971;16.5;3.5;10.1
1971;22.5;2.5;14.7
1971;15.3;5;10.7
1971;14.5;2;8.2
1971;16.7;4.9;10.8
1971;11.6;9.5;10.6
1971;16.8;8.4;11.5
1971;15;6.4;11.3
1971;17.8;8.8;12.4
1971;20.1;6.3;13.4
1971;23;10.2;16.8
1971;24;16;19.8
1971;22;12;15.2
1971;16.6;7.5;11.5
1971;13.5;5.7;9.2
1971;10;1.7;4.6
1971;10;-1.2;4.2
1971;11.5;0.5;5.3
1971;14.3;-0.3;6.7
1971;15.3;2.6;8.6
1971;20.2;7;12
1971;15;7;10.9
1971;12.5;3.4;8
1971;9.5;2;4.4
1971;8.5;1.5;4.5
1971;9.4;-1.2;3.8
1971;6.9;-0.4;3.8
1971;8.8;-0.2;5.5
1971;12.7;5.5;8
1971;13.3;5.3;9
1971;9.5;3;6.8
1971;10.3;0;4.7
1971;12.4;0;6
1971;11.7;0.3;6.8
1971;11;0;5.2
